Type,Category,No of crew,Rig,Spinnaker,Keel,Handicap
2.4mR,Keelboat,1,Sloop,None,Fin,1235
2000,Dinghy,2,Sloop,Asymmetric,CB,1122
29er,Dinghy,2,Sloop,Asymmetric,CB,900
4000,Dinghy,2,Sloop,Asymmetric,CB,926
420,Dinghy,2,Sloop,Conventional,CB,1100
505,Dinghy,2,Sloop,Conventional,CB,892
A CLASS,Multihull,1,Una,None,None,684
A CLASS (NON-FOILING),Multihull,1,Una,None,None,695
A-Classic (straight or constant curve foils),Multihull,1,Una,None,None,695
ALBACORE,Dinghy,2,Sloop,None,CB,1037
ALTO,Dinghy,2,Sloop,Asymmetric,CB,910
B14,Dinghy,2,Sloop,Asymmetric,CB,858
BLAZE,Dinghy,1,Una,None,CB,1030
BLAZE FIRE,Dinghy,1,Una,None,CB,1050
BRITISH MOTH,Dinghy,1,Una,None,CB,1160
BUZZ,Dinghy,2,Sloop,Asymmetric,CB,1009
BYTE CI,Dinghy,1,Una,None,CB,1223
BYTE CII,Dinghy,1,Una,None,CB,1123
CADET,Dinghy,2,Sloop,Conventional,CB,1455
CANOE INTERNATIONAL,Dinghy,1,Sloop,None,CB,858
Catapult,Multihull,1,Una,None,None,898
CHALLENGER,Multihull,1,Una,None,None,1175
COMET,Dinghy,1,Una,None,CB,1208
COMET TRIO (Mk 1),Dinghy,2,Sloop,Asymmetric,CB,1082
COMET TRIO (Mk 2),Dinghy,2,Sloop,Asymmetric,CB,1053
COMET XTRA,Dinghy,1,Una,None,CB,1210
CONTENDER,Dinghy,1,Una,None,CB,973
Dart 15,Multihull,1,Una,None,None,916
Dart 15 sport solo,Multihull,1,Una,None,None,904
Dart 18,Multihull,2,Sloop,None,None,795
DEVOTI D-ONE,Dinghy,1,Una,Asymmetric,CB,957
DEVOTI D-ZERO,Dinghy,1,Una,None,CB,1029
DEVOTI D-ZERO BLACK RIG,Dinghy,1,Una,None,None,1051
ENTERPRISE,Dinghy,2,Sloop,None,CB,1137
EUROPE,Dinghy,1,Una,None,CB,1140
FINN,Dinghy,1,Una,None,CB,1049
FIREBALL,Dinghy,2,Sloop,Conventional,CB,960
FIREFLY,Dinghy,2,Sloop,None,CB,1178
FLYING FIFTEEN,Keelboat,2,Sloop,Conventional,Fin,1028
FLYING FIFTEEN CLASSIC (1-2700),Keelboat,2,Sloop,Conventional,Fin,1079
FLYING FIFTEEN SILVER (2701-3400),Keelboat,2,Sloop,Conventional,Fin,1051
Fusion pro,Dinghy,1,Una,None,CB,1281
FUSION PRO GEN,Dinghy,2,Sloop,Asymmetric,None,1275
Fusion pro Spinnaker,Dinghy,1,Una,Asymmetric,CB,1275
GP14,Dinghy,2,Sloop,Conventional,CB,1145
GRADUATE,Dinghy,2,Sloop,None,CB,1110
GULL,Dinghy,2,Sloop,Conventional,CB,1385
HADRON H2,Dinghy,1,Una,None,CB,1045
HANSA 303 SINGLEHANDED,Dinghy,1,Una,None,None,1570
HANSA LIBERTY,Dinghy,1,Una,None,None,1411
HARTLEY ZENITH,Dinghy,1,Sloop,None,CB,1051
HORNET,Dinghy,2,Sloop,Conventional,CB,950
Hurricane 5.9 SX,Multihull,2,Sloop,None,None,680
Icon,Dinghy,2,Sloop,None,CB,976
ILCA 4,Dinghy,1,Una,None,CB,1218
ILCA 6,Dinghy,1,Una,None,CB,1156
ILCA 7,Dinghy,1,Una,None,CB,1103
ILLUSION,Dinghy,1,Sloop,Conventional,Fin,1285
ISO,Dinghy,2,Sloop,Asymmetric,CB,940
JAVELIN,Dinghy,2,Sloop,Conventional,CB,944
K1,Keelboat,1,Sloop,None,Fin,1060
K6,Keelboat,2,Sloop,Asymmetric,Fin,900
KESTREL,Dinghy,2,Sloop,Conventional,CB,1042
LARK,Dinghy,2,Sloop,Conventional,CB,1060
LASER,Dinghy,1,Una,None,CB,1103
LASER 4.7,Dinghy,1,Una,None,CB,1218
LASER EPS,Dinghy,1,Una,None,CB,1033
LASER II,Dinghy,2,Sloop,Conventional,CB,1085
LASER RADIAL,Dinghy,1,Una,None,CB,1156
LASER STRATOS,Dinghy,2,Sloop,Asymmetric,CB,1108
LIGHTNING 368,Dinghy,1,Una,None,CB,1171
MEGABYTE,Dinghy,1,Una,None,CB,1058
MELGES 15,Dinghy,2,Sloop,Asymmetric,CB,994
MERLIN-ROCKET,Dinghy,2,Sloop,Conventional,CB,980
MIRACLE,Dinghy,2,Sloop,Conventional,CB,1196
MIRROR,Dinghy,2,Sloop,Conventional,CB,1364
MIRROR NO SPINNAKER,Dinghy,2,Sloop,None,CB,1376
MIRROR S/H,Dinghy,1,Sloop,None,CB,1376
MUSTO SKIFF,Dinghy,1,Una,Asymmetric,CB,830
NATIONAL 12,Dinghy,2,Sloop,None,CB,1070
OK,Dinghy,1,Una,None,CB,1092
OPTIMIST,Dinghy,1,Una,None,CB,1629
OSPREY,Dinghy,2,Sloop,Conventional,CB,932
PHANTOM,Dinghy,1,Una,None,CB,998
ROOSTER 8.1,Dinghy,1,Una,None,CB,1016
RS 100 10.2,Dinghy,1,Una,Asymmetric,CB,981
RS 100 8.4,Dinghy,1,Una,Asymmetric,CB,1002
RS 200,Dinghy,2,Sloop,Asymmetric,CB,1053
RS 300,Dinghy,1,Una,None,CB,965
RS 400,Dinghy,2,Sloop,Asymmetric,CB,945
RS 500,Dinghy,2,Sloop,Asymmetric,CB,963
RS 600,Dinghy,1,Una,None,CB,921
RS 700,Dinghy,1,Una,Asymmetric,CB,845
RS 800,Dinghy,2,Sloop,Asymmetric,CB,797
RS Aero 5,Dinghy,1,Una,None,CB,1141
RS Aero 6,Dinghy,1,Una,None,CB,1098
RS Aero 7,Dinghy,1,Una,None,CB,1062
RS Aero 9,Dinghy,1,Una,None,CB,1005
RS FEVA XL,Dinghy,2,Sloop,Asymmetric,CB,1248
RS TERA PRO,Dinghy,1,Una,None,CB,1368
RS TERA SPORT,Dinghy,1,Una,None,CB,1452
RS VAREO,Dinghy,1,Una,Asymmetric,CB,1095
RS VISION,Dinghy,2,Sloop,Asymmetric,CB,1150
SCORPION,Dinghy,2,Sloop,Conventional,CB,1042
SEAFLY,Dinghy,2,Sloop,Conventional,CB,1074
Shockwave F18,Multihull,2,Sloop,None,None,719
SNIPE,Dinghy,2,Sloop,None,CB,1104
SOLO,Dinghy,1,Una,None,CB,1139
SOLUTION,Dinghy,1,Una,None,CB,1112
Spitfire Solo (without jib),Multihull,1,Una,Asymmetric,None,745
SPLASH,Dinghy,1,Una,None,None,1247
Sprint 15 DX,Multihull,1,Una,None,None,924
SPRINT 15 SPORT,Multihull,1,Sloop,None,None,904
STREAKER,Dinghy,1,Una,None,CB,1121
SUPERNOVA,Dinghy,1,Una,None,CB,1075
TASAR,Dinghy,2,Sloop,None,CB,1022
TOPPER,Dinghy,1,Una,None,CB,1369
TOPPER 4.2,Dinghy,1,Una,None,CB,1450
VORTEX,Dinghy,1,Una,Asymmetric,CB,950
WANDERER,Dinghy,2,Sloop,Conventional,CB,1201
WAYFARER,Dinghy,2,Sloop,Conventional,CB,1107